suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high
threshold,,B3,accuracy,,moderate,,10,0.7465537848605578,0.7117528220451527,0.7666467463479416
threshold,,B3,macro_f1,,moderate,,10,0.4821305573032853,0.45433624916903426,0.5153334584640398
threshold,,B3,demographic_parity_gap,,moderate,,10,0.03125718736928233,0.006208739417796311,0.07411390138744291
threshold,,B3,equal_opportunity_gap,,moderate,,10,0.01188866313160072,0.0075978064731348095,0.016737366556783692
threshold,,B3,equalized_odds_gap,,moderate,,10,0.02546640680913323,0.007688684095230822,0.05574210773046588
threshold,,B3,subgroup_accuracy_gap,,moderate,,10,0.1711903951461651,0.13751930766922243,0.19083563324804187
threshold,,B3,runtime_ms,,moderate,,10,71.70650019834284,69.76322849710414,73.45915439655073
threshold,,B3,accuracy,,strict,,10,0.5006772908366534,0.34760956175298807,0.6538645418326693
threshold,,B3,macro_f1,,strict,,10,0.3165007580205921,0.24440649612130505,0.3887092911230393
threshold,,B3,demographic_parity_gap,,strict,,10,0.0007937581745371,0.00019710259189906998,0.0015048118928967398
threshold,,B3,equal_opportunity_gap,,strict,,10,0.0017658573867663698,0.00057270124085267,0.003154483674930001
threshold,,B3,equalized_odds_gap,,strict,,10,0.0017658573867663698,0.00057270124085267,0.00316350888897897
threshold,,B3,subgroup_accuracy_gap,,strict,,10,0.19558028028084845,0.19486922656248878,0.1961572256042966
threshold,,B3,runtime_ms,,strict,,10,71.12791249819566,69.28237878411892,72.86908098016283
threshold,,B3,accuracy,,submitted,,10,0.7599933598937583,0.7588512616201859,0.7611885790172643
threshold,,B3,macro_f1,,submitted,,10,0.4551151721585905,0.4498433207961688,0.4605046396004042
threshold,,B3,demographic_parity_gap,,submitted,,10,0.00626988239297947,0.004872135911885578,0.007880621683960967
threshold,,B3,equal_opportunity_gap,,submitted,,10,0.00681375099891407,0.0047798190501704444,0.00937953938277812
threshold,,B3,equalized_odds_gap,,submitted,,10,0.00681375099891407,0.004807126034829291,0.009393304262242965
threshold,,B3,subgroup_accuracy_gap,,submitted,,10,0.19108966902190155,0.18998376130198116,0.19206104830535997
threshold,,B3,runtime_ms,,submitted,,10,71.10422920086421,69.14575374852575,73.08372641746246
adversarial,,B0,accuracy,,,label_flip,5,0.7730677290836654,0.7508764940239043,0.7939442231075697
adversarial,,B0,macro_f1,,,label_flip,5,0.5932672606494289,0.5036686953192804,0.6698363481490487
adversarial,,B0,demographic_parity_gap,,,label_flip,5,0.1324006191019291,0.027785271148756063,0.3015925251539997
adversarial,,B0,equal_opportunity_gap,,,label_flip,5,0.11305885639113673,0.03192275330719828,0.2311898830777807
adversarial,,B0,equalized_odds_gap,,,label_flip,5,0.12045354642525355,0.03111870955433148,0.25337395318013106
adversarial,,B0,subgroup_accuracy_gap,,,label_flip,5,0.17398082504304568,0.15242159670711491,0.19750453194543366
adversarial,,B0,runtime_ms,,,label_flip,5,81.32241680868901,79.71089201746508,82.93394159991294
adversarial,,B6,accuracy,,,label_flip,5,0.7670517928286853,0.759003984063745,0.7759760956175298
adversarial,,B6,macro_f1,,,label_flip,5,0.5282245532935538,0.4509603760124949,0.6315429628490317
adversarial,,B6,demographic_parity_gap,,,label_flip,5,0.03602149160445456,0.00578916349367126,0.07493621897732877
adversarial,,B6,equal_opportunity_gap,,,label_flip,5,0.03566387589530974,0.007595460203090121,0.06586315604880692
adversarial,,B6,equalized_odds_gap,,,label_flip,5,0.03566387589530974,0.007595460203090121,0.06546307630704229
adversarial,,B6,subgroup_accuracy_gap,,,label_flip,5,0.1606755335284928,0.1093449235380954,0.19153096740282985
adversarial,,B6,runtime_ms,,,label_flip,5,79.4233335996978,76.93665859987959,81.910008599516
adversarial,,B0,accuracy,,,none,5,0.7751792828685259,0.7727224435590969,0.7776361221779549
