suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,attack_type
adversarial,,B6-B0,accuracy,5,-0.006401062416998648,-0.4016569042911017,-0.3333333333333333,-0.8981321416270304,0.4198897626245855,5.0,0.625,1.0,none
adversarial,,B6-B0,macro_f1,5,-0.0048759736894793074,-0.03873615916653808,-0.3333333333333333,-0.08661668508363074,0.9351388237094836,5.0,0.625,1.0,none
adversarial,,B6-B0,demographic_parity_gap,5,0.0072538247100013,0.1279518481879937,-0.3333333333333333,0.2861090303950872,0.7890007217716758,5.0,0.625,1.0,none
adversarial,,B6-B0,equal_opportunity_gap,5,-0.016774902593378122,-1.3558258082020112,-0.8666666666666667,-3.0317186727882883,0.03871521954194192,1.0,0.125,1.0,none
adversarial,,B6-B0,equalized_odds_gap,5,-0.007319064020703961,-0.4033833284217471,-0.4666666666666667,-0.9019925433411496,0.4180639518312193,4.0,0.4375,1.0,none
adversarial,,B6-B0,subgroup_accuracy_gap,5,-0.010135694884224875,-0.20285150183784648,0.3333333333333333,-0.45358974744734826,0.6736430516421917,5.0,0.625,1.0,none
adversarial,,B6-B0,accuracy,5,0.12851261620185922,0.8780942206990983,1.0,1.9634783681328867,0.12107087818729699,0.0,0.0625,1.0,random_weights
adversarial,,B6-B0,macro_f1,5,-0.01144399583569632,-0.07027505799094053,-0.2,-0.1571398067904828,0.8827475284178871,6.0,0.8125,1.0,random_weights
adversarial,,B6-B0,demographic_parity_gap,5,-0.028770723930378904,-0.32094141613840216,-0.4666666666666667,-0.7176468232805153,0.5126541882246632,4.0,0.4375,1.0,random_weights
adversarial,,B6-B0,equal_opportunity_gap,5,-0.049849684488798764,-0.7534588131875122,-0.7333333333333333,-1.6847851245335923,0.16731303448597953,2.0,0.1875,1.0,random_weights
adversarial,,B6-B0,equalized_odds_gap,5,-0.06357300027689657,-1.2419070840890063,-0.8666666666666667,-2.7769886617615653,0.049972199716013466,1.0,0.125,1.0,random_weights
adversarial,,B6-B0,subgroup_accuracy_gap,5,0.06107854674690351,1.1832707411582621,0.8666666666666667,2.6458738130164328,0.057227905551400164,1.0,0.125,1.0,random_weights
adversarial,,B6-B0,accuracy,5,-0.003798140770252334,-0.16238228981690644,-0.2,-0.36309783837267473,0.7349064075648866,6.0,0.8125,1.0,sign_flip
adversarial,,B6-B0,macro_f1,5,-0.05903985670182934,-0.38078950378242504,-0.4666666666666667,-0.8514712155759155,0.4424814736144897,4.0,0.4375,1.0,sign_flip
adversarial,,B6-B0,demographic_parity_gap,5,-0.09114202778288012,-0.4477668534922292,-0.3333333333333333,-1.0012371224798136,0.37337016710820803,5.0,0.625,1.0,sign_flip
adversarial,,B6-B0,equal_opportunity_gap,5,-0.09191643565736402,-0.685143348568628,-0.8666666666666667,-1.5320271017312854,0.20027863775109006,1.0,0.125,1.0,sign_flip
adversarial,,B6-B0,equalized_odds_gap,5,-0.09333874033755445,-0.6336969210527836,-0.8666666666666667,-1.416989392606342,0.22944539043167084,1.0,0.125,1.0,sign_flip
adversarial,,B6-B0,subgroup_accuracy_gap,5,-0.01188425524396496,-0.22818365188892836,-0.06666666666666667,-0.5102341569777922,0.6367537397972285,7.0,1.0,1.0,sign_flip
